Experiment	Beetle	Trial	Heading
LPexper.20181123.Fullmoon.overcast.Thornwood	3	2	120
LPexper.20181123.Fullmoon.overcast.Thornwood	3	3	100
LPexper.20181123.Fullmoon.overcast.Thornwood	3	4	120
LPexper.20181123.Fullmoon.overcast.Thornwood	3	5	130
LPexper.20181123.Fullmoon.overcast.Thornwood	3	6	130
LPexper.20181123.Fullmoon.overcast.Thornwood	3	7	125
LPexper.20181123.Fullmoon.overcast.Thornwood	3	8	135
LPexper.20181123.Fullmoon.overcast.Thornwood	3	9	190
LPexper.20181123.Fullmoon.overcast.Thornwood	3	10	155
LPexper.20181123.Fullmoon.overcast.Thornwood	4	1	115
LPexper.20181123.Fullmoon.overcast.Thornwood	4	2	105
LPexper.20181123.Fullmoon.overcast.Thornwood	4	3	140
LPexper.20181123.Fullmoon.overcast.Thornwood	4	4	125
LPexper.20181123.Fullmoon.overcast.Thornwood	4	5	150
LPexper.20181123.Fullmoon.overcast.Thornwood	4	6	145
LPexper.20181123.Fullmoon.overcast.Thornwood	4	7	155
LPexper.20181123.Fullmoon.overcast.Thornwood	4	8	180
LPexper.20181123.Fullmoon.overcast.Thornwood	4	9	190
LPexper.20181123.Fullmoon.overcast.Thornwood	4	10	125
LPexper.20181123.Fullmoon.overcast.Thornwood	5	1	130
LPexper.20181123.Fullmoon.overcast.Thornwood	5	2	140
LPexper.20181123.Fullmoon.overcast.Thornwood	5	3	180
LPexper.20181123.Fullmoon.overcast.Thornwood	5	4	205
LPexper.20181123.Fullmoon.overcast.Thornwood	5	5	210
LPexper.20181123.Fullmoon.overcast.Thornwood	5	6	135
LPexper.20181123.Fullmoon.overcast.Thornwood	5	7	110
LPexper.20181123.Fullmoon.overcast.Thornwood	5	8	185
LPexper.20181123.Fullmoon.overcast.Thornwood	5	9	215
LPexper.20181123.Fullmoon.overcast.Thornwood	5	10	215
LPexper.20181123.Fullmoon.overcast.Thornwood	6	1	145
LPexper.20181123.Fullmoon.overcast.Thornwood	6	2	120
LPexper.20181123.Fullmoon.overcast.Thornwood	6	3	115
LPexper.20181123.Fullmoon.overcast.Thornwood	6	4	145
LPexper.20181123.Fullmoon.overcast.Thornwood	6	5	160
LPexper.20181123.Fullmoon.overcast.Thornwood	6	6	150
LPexper.20181123.Fullmoon.overcast.Thornwood	6	7	165
LPexper.20181123.Fullmoon.overcast.Thornwood	6	8	130
LPexper.20181123.Fullmoon.overcast.Thornwood	6	9	160
LPexper.20181123.Fullmoon.overcast.Thornwood	6	10	155
LPexper.20181123.Fullmoon.overcast.Thornwood	7	1	160
LPexper.20181123.Fullmoon.overcast.Thornwood	7	2	220
LPexper.20181123.Fullmoon.overcast.Thornwood	7	3	275
LPexper.20181123.Fullmoon.overcast.Thornwood	7	4	325
LPexper.20181123.Fullmoon.overcast.Thornwood	7	5	020
LPexper.20181123.Fullmoon.overcast.Thornwood	7	6	060
LPexper.20181123.Fullmoon.overcast.Thornwood	7	7	090
LPexper.20181123.Fullmoon.overcast.Thornwood	7	8	095
LPexper.20181123.Fullmoon.overcast.Thornwood	7	9	100
LPexper.20181123.Fullmoon.overcast.Thornwood	7	10	095
LPexper.20181123.Fullmoon.overcast.Thornwood	8	1	250
LPexper.20181123.Fullmoon.overcast.Thornwood	8	2	250
LPexper.20181123.Fullmoon.overcast.Thornwood	8	3	275
LPexper.20181123.Fullmoon.overcast.Thornwood	8	4	295
LPexper.20181123.Fullmoon.overcast.Thornwood	8	5	320
LPexper.20181123.Fullmoon.overcast.Thornwood	8	6	280
LPexper.20181123.Fullmoon.overcast.Thornwood	8	7	275
LPexper.20181123.Fullmoon.overcast.Thornwood	8	8	330
LPexper.20181123.Fullmoon.overcast.Thornwood	8	9	310
LPexper.20181123.Fullmoon.overcast.Thornwood	8	10	330
LPexper.20181123.Fullmoon.overcast.Thornwood	9	1	140
LPexper.20181123.Fullmoon.overcast.Thornwood	9	2	080
LPexper.20181123.Fullmoon.overcast.Thornwood	9	3	070
LPexper.20181123.Fullmoon.overcast.Thornwood	9	4	100
LPexper.20181123.Fullmoon.overcast.Thornwood	9	5	090
LPexper.20181123.Fullmoon.overcast.Thornwood	9	6	075
LPexper.20181123.Fullmoon.overcast.Thornwood	9	7	095
LPexper.20181123.Fullmoon.overcast.Thornwood	9	8	180
LPexper.20181123.Fullmoon.overcast.Thornwood	9	9	190
LPexper.20181123.Fullmoon.overcast.Thornwood	9	10	200
LPexper.20181123.Fullmoon.overcast.Thornwood	10	1	110
LPexper.20181123.Fullmoon.overcast.Thornwood	10	2	075
LPexper.20181123.Fullmoon.overcast.Thornwood	10	3	055
LPexper.20181123.Fullmoon.overcast.Thornwood	10	4	050
LPexper.20181123.Fullmoon.overcast.Thornwood	10	5	045
LPexper.20181123.Fullmoon.overcast.Thornwood	10	6	020
LPexper.20181123.Fullmoon.overcast.Thornwood	10	7	040
LPexper.20181123.Fullmoon.overcast.Thornwood	10	8	010
LPexper.20181123.Fullmoon.overcast.Thornwood	10	9	340
LPexper.20181123.Fullmoon.overcast.Thornwood	10	10	350
LPexper.20181123.FullMoonHazy.Wits	1	1	285
LPexper.20181123.FullMoonHazy.Wits	1	2	280
LPexper.20181123.FullMoonHazy.Wits	1	3	000
LPexper.20181123.FullMoonHazy.Wits	1	4	265
LPexper.20181123.FullMoonHazy.Wits	1	5	245
LPexper.20181123.FullMoonHazy.Wits	1	6	240
LPexper.20181123.FullMoonHazy.Wits	1	7	280
LPexper.20181123.FullMoonHazy.Wits	1	8	220
LPexper.20181123.FullMoonHazy.Wits	1	9	220
LPexper.20181123.FullMoonHazy.Wits	1	10	260
LPexper.20181123.FullMoonHazy.Wits	2	1	215
LPexper.20181123.FullMoonHazy.Wits	2	2	190
LPexper.20181123.FullMoonHazy.Wits	2	3	260
LPexper.20181123.FullMoonHazy.Wits	2	4	105
LPexper.20181123.FullMoonHazy.Wits	2	5	215
LPexper.20181123.FullMoonHazy.Wits	2	6	225
LPexper.20181123.FullMoonHazy.Wits	2	7	235
LPexper.20181123.FullMoonHazy.Wits	2	8	215
LPexper.20181123.FullMoonHazy.Wits	2	9	260
LPexper.20181123.FullMoonHazy.Wits	2	10	235
LPexper.20181123.FullMoonHazy.Wits	3	1	235
LPexper.20181123.FullMoonHazy.Wits	3	2	265
LPexper.20181123.FullMoonHazy.Wits	3	3	270
LPexper.20181123.FullMoonHazy.Wits	3	4	275
LPexper.20181123.FullMoonHazy.Wits	3	5	250
LPexper.20181123.FullMoonHazy.Wits	3	6	305
LPexper.20181123.FullMoonHazy.Wits	3	7	280
LPexper.20181123.FullMoonHazy.Wits	3	8	330
LPexper.20181123.FullMoonHazy.Wits	3	9	290
LPexper.20181123.FullMoonHazy.Wits	3	10	305
LPexper.20181123.FullMoonHazy.Wits	4	1	250
LPexper.20181123.FullMoonHazy.Wits	4	2	250
LPexper.20181123.FullMoonHazy.Wits	4	3	220
LPexper.20181123.FullMoonHazy.Wits	4	4	220
LPexper.20181123.FullMoonHazy.Wits	4	5	215
LPexper.20181123.FullMoonHazy.Wits	4	6	235
LPexper.20181123.FullMoonHazy.Wits	4	7	200
LPexper.20181123.FullMoonHazy.Wits	4	8	160
LPexper.20181123.FullMoonHazy.Wits	4	9	150
LPexper.20181123.FullMoonHazy.Wits	4	10	135
LPexper.20181123.FullMoonHazy.Wits	5	1	050
LPexper.20181123.FullMoonHazy.Wits	5	2	150
LPexper.20181123.FullMoonHazy.Wits	5	3	025
LPexper.20181123.FullMoonHazy.Wits	5	4	060
LPexper.20181123.FullMoonHazy.Wits	5	5	090
LPexper.20181123.FullMoonHazy.Wits	5	6	090
LPexper.20181123.FullMoonHazy.Wits	5	7	105
LPexper.20181123.FullMoonHazy.Wits	5	8	070
LPexper.20181123.FullMoonHazy.Wits	5	9	085
LPexper.20181123.FullMoonHazy.Wits	5	10	090
LPexper.20181123.FullMoonHazy.Wits	6	1	025
LPexper.20181123.FullMoonHazy.Wits	6	2	050
LPexper.20181123.FullMoonHazy.Wits	6	3	060
LPexper.20181123.FullMoonHazy.Wits	6	4	060
LPexper.20181123.FullMoonHazy.Wits	6	5	070
LPexper.20181123.FullMoonHazy.Wits	6	6	070
LPexper.20181123.FullMoonHazy.Wits	6	7	060
LPexper.20181123.FullMoonHazy.Wits	6	8	075
LPexper.20181123.FullMoonHazy.Wits	6	9	060
LPexper.20181123.FullMoonHazy.Wits	6	10	055
LPexper.20181123.FullMoonHazy.Wits	7	1	020
LPexper.20181123.FullMoonHazy.Wits	7	2	000
LPexper.20181123.FullMoonHazy.Wits	7	3	040
LPexper.20181123.FullMoonHazy.Wits	7	4	045
LPexper.20181123.FullMoonHazy.Wits	7	5	025
LPexper.20181123.FullMoonHazy.Wits	7	6	065
LPexper.20181123.FullMoonHazy.Wits	7	7	065
LPexper.20181123.FullMoonHazy.Wits	7	8	080
LPexper.20181123.FullMoonHazy.Wits	7	9	080
LPexper.20181123.FullMoonHazy.Wits	7	10	060
LPexper.20181123.FullMoonHazy.Wits	8	1	170
LPexper.20181123.FullMoonHazy.Wits	8	2	180
LPexper.20181123.FullMoonHazy.Wits	8	3	210
LPexper.20181123.FullMoonHazy.Wits	8	4	190
LPexper.20181123.FullMoonHazy.Wits	8	5	195
LPexper.20181123.FullMoonHazy.Wits	8	6	200
LPexper.20181123.FullMoonHazy.Wits	8	7	240
LPexper.20181123.FullMoonHazy.Wits	8	8	250
LPexper.20181123.FullMoonHazy.Wits	8	9	220
LPexper.20181123.FullMoonHazy.Wits	8	10	240
LPexper.20181123.FullMoonHazy.Wits	9	1	070
LPexper.20181123.FullMoonHazy.Wits	9	2	110
LPexper.20181123.FullMoonHazy.Wits	9	3	085
LPexper.20181123.FullMoonHazy.Wits	9	4	100
LPexper.20181123.FullMoonHazy.Wits	9	5	090
LPexper.20181123.FullMoonHazy.Wits	9	6	080
LPexper.20181123.FullMoonHazy.Wits	9	7	080
LPexper.20181123.FullMoonHazy.Wits	9	8	090
LPexper.20181123.FullMoonHazy.Wits	9	9	110
LPexper.20181123.FullMoonHazy.Wits	9	10	080
LPexper.20181123.FullMoonHazy.Wits	10	1	130
LPexper.20181123.FullMoonHazy.Wits	10	2	160
LPexper.20181123.FullMoonHazy.Wits	10	3	155
LPexper.20181123.FullMoonHazy.Wits	10	4	145
LPexper.20181123.FullMoonHazy.Wits	10	5	175
LPexper.20181123.FullMoonHazy.Wits	10	6	170
LPexper.20181123.FullMoonHazy.Wits	10	7	130
LPexper.20181123.FullMoonHazy.Wits	10	8	130
LPexper.20181123.FullMoonHazy.Wits	10	9	150
LPexper.20181123.FullMoonHazy.Wits	10	10	155
LPexper.20181127.LowMWay.Thornwood	1	1	060
LPexper.20181127.LowMWay.Thornwood	1	2	080
LPexper.20181127.LowMWay.Thornwood	1	3	065
LPexper.20181127.LowMWay.Thornwood	1	4	060
LPexper.20181127.LowMWay.Thornwood	1	5	070
LPexper.20181127.LowMWay.Thornwood	1	6	140
LPexper.20181127.LowMWay.Thornwood	1	7	140
LPexper.20181127.LowMWay.Thornwood	1	8	135
LPexper.20181127.LowMWay.Thornwood	1	9	145
LPexper.20181127.LowMWay.Thornwood	1	10	125
LPexper.20181127.LowMWay.Thornwood	2	1	080
LPexper.20181127.LowMWay.Thornwood	2	2	120
LPexper.20181127.LowMWay.Thornwood	2	3	160
LPexper.20181127.LowMWay.Thornwood	2	4	140
LPexper.20181127.LowMWay.Thornwood	2	5	140
LPexper.20181127.LowMWay.Thornwood	2	6	150
LPexper.20181127.LowMWay.Thornwood	2	7	150
LPexper.20181127.LowMWay.Thornwood	2	8	160
LPexper.20181127.LowMWay.Thornwood	2	9	170
LPexper.20181127.LowMWay.Thornwood	2	10	145
LPexper.20181127.LowMWay.Thornwood	3	1	100
LPexper.20181127.LowMWay.Thornwood	3	2	075
LPexper.20181127.LowMWay.Thornwood	3	3	040
LPexper.20181127.LowMWay.Thornwood	3	4	075
LPexper.20181127.LowMWay.Thornwood	3	5	110
LPexper.20181127.LowMWay.Thornwood	3	6	115
LPexper.20181127.LowMWay.Thornwood	3	7	100
LPexper.20181127.LowMWay.Thornwood	3	8	095
LPexper.20181127.LowMWay.Thornwood	3	9	120
LPexper.20181127.LowMWay.Thornwood	3	10	115
LPexper.20181127.LowMWay.Thornwood	4	1	065
LPexper.20181127.LowMWay.Thornwood	4	2	065
LPexper.20181127.LowMWay.Thornwood	4	3	080
LPexper.20181127.LowMWay.Thornwood	4	4	075
LPexper.20181127.LowMWay.Thornwood	4	5	070
LPexper.20181127.LowMWay.Thornwood	4	6	090
LPexper.20181127.LowMWay.Thornwood	4	7	105
LPexper.20181127.LowMWay.Thornwood	4	8	065
LPexper.20181127.LowMWay.Thornwood	4	9	055
LPexper.20181127.LowMWay.Thornwood	4	10	030
LPexper.20181127.LowMWay.Thornwood	5	1	240
LPexper.20181127.LowMWay.Thornwood	5	2	290
LPexper.20181127.LowMWay.Thornwood	5	3	310
LPexper.20181127.LowMWay.Thornwood	5	4	345
LPexper.20181127.LowMWay.Thornwood	5	5	320
LPexper.20181127.LowMWay.Thornwood	5	6	350
LPexper.20181127.LowMWay.Thornwood	5	7	275
LPexper.20181127.LowMWay.Thornwood	5	8	300
LPexper.20181127.LowMWay.Thornwood	5	9	240
LPexper.20181127.LowMWay.Thornwood	5	10	255
LPexper.20181127.LowMWay.Thornwood	6	1	345
LPexper.20181127.LowMWay.Thornwood	6	2	310
LPexper.20181127.LowMWay.Thornwood	6	3	280
LPexper.20181127.LowMWay.Thornwood	6	4	260
LPexper.20181127.LowMWay.Thornwood	6	5	250
LPexper.20181127.LowMWay.Thornwood	6	6	255
LPexper.20181127.LowMWay.Thornwood	6	7	230
LPexper.20181127.LowMWay.Thornwood	6	8	240
LPexper.20181127.LowMWay.Thornwood	6	9	255
LPexper.20181127.LowMWay.Thornwood	6	10	205
LPexper.20181127.LowMWay.Thornwood	7	1	035
LPexper.20181127.LowMWay.Thornwood	7	2	030
LPexper.20181127.LowMWay.Thornwood	7	3	050
LPexper.20181127.LowMWay.Thornwood	7	4	050
LPexper.20181127.LowMWay.Thornwood	7	5	040
LPexper.20181127.LowMWay.Thornwood	7	6	060
LPexper.20181127.LowMWay.Thornwood	7	7	045
LPexper.20181127.LowMWay.Thornwood	7	8	050
LPexper.20181127.LowMWay.Thornwood	7	9	045
LPexper.20181127.LowMWay.Thornwood	7	10	035
LPexper.20181127.LowMWay.Thornwood	8	1	355
LPexper.20181127.LowMWay.Thornwood	8	2	340
LPexper.20181127.LowMWay.Thornwood	8	3	125
LPexper.20181127.LowMWay.Thornwood	8	4	130
LPexper.20181127.LowMWay.Thornwood	8	5	010
LPexper.20181127.LowMWay.Thornwood	8	6	330
LPexper.20181127.LowMWay.Thornwood	8	7	335
LPexper.20181127.LowMWay.Thornwood	8	8	330
LPexper.20181127.LowMWay.Thornwood	8	9	NA
LPexper.20181127.LowMWay.Thornwood	8	10	NA
LPexper.20181127.LowMWay.Thornwood	9	1	115
LPexper.20181127.LowMWay.Thornwood	9	2	055
LPexper.20181127.LowMWay.Thornwood	9	3	050
LPexper.20181127.LowMWay.Thornwood	9	4	040
LPexper.20181127.LowMWay.Thornwood	9	5	045
LPexper.20181127.LowMWay.Thornwood	9	6	030
LPexper.20181127.LowMWay.Thornwood	9	7	040
LPexper.20181127.LowMWay.Thornwood	9	8	055
LPexper.20181127.LowMWay.Thornwood	9	9	040
LPexper.20181127.LowMWay.Thornwood	9	10	055
