"Experiment" "Beetle" "Trial" "Heading" "ShortName" "Indirect" "Direct" "Condition"
"106" "LPexper.20181122.WaxGibbous.Wits" 11 6 60 "Moon
Urban" TRUE TRUE "MoonUrban"
"107" "LPexper.20181122.WaxGibbous.Wits" 11 7 65 "Moon
Urban" TRUE TRUE "MoonUrban"
"108" "LPexper.20181122.WaxGibbous.Wits" 11 8 70 "Moon
Urban" TRUE TRUE "MoonUrban"
"109" "LPexper.20181122.WaxGibbous.Wits" 11 9 70 "Moon
Urban" TRUE TRUE "MoonUrban"
"110" "LPexper.20181122.WaxGibbous.Wits" 11 10 70 "Moon
Urban" TRUE TRUE "MoonUrban"
"111" "LPexper.20181122.WaxGibbous.Wits" 12 1 355 "Moon
Urban" TRUE TRUE "MoonUrban"
"112" "LPexper.20181122.WaxGibbous.Wits" 12 2 70 "Moon
Urban" TRUE TRUE "MoonUrban"
"113" "LPexper.20181122.WaxGibbous.Wits" 12 3 30 "Moon
Urban" TRUE TRUE "MoonUrban"
"114" "LPexper.20181122.WaxGibbous.Wits" 12 4 45 "Moon
Urban" TRUE TRUE "MoonUrban"
"115" "LPexper.20181122.WaxGibbous.Wits" 12 5 15 "Moon
Urban" TRUE TRUE "MoonUrban"
"116" "LPexper.20181122.WaxGibbous.Wits" 12 6 325 "Moon
Urban" TRUE TRUE "MoonUrban"
"117" "LPexper.20181122.WaxGibbous.Wits" 12 7 20 "Moon
Urban" TRUE TRUE "MoonUrban"
"118" "LPexper.20181122.WaxGibbous.Wits" 12 8 10 "Moon
Urban" TRUE TRUE "MoonUrban"
"119" "LPexper.20181122.WaxGibbous.Wits" 12 9 5 "Moon
Urban" TRUE TRUE "MoonUrban"
"120" "LPexper.20181122.WaxGibbous.Wits" 12 10 340 "Moon
Urban" TRUE TRUE "MoonUrban"
"121" "LPexper.20181122.WaxGibbous.Wits" 13 1 105 "Moon
Urban" TRUE TRUE "MoonUrban"
"122" "LPexper.20181122.WaxGibbous.Wits" 13 2 95 "Moon
Urban" TRUE TRUE "MoonUrban"
"123" "LPexper.20181122.WaxGibbous.Wits" 13 3 80 "Moon
Urban" TRUE TRUE "MoonUrban"
"124" "LPexper.20181122.WaxGibbous.Wits" 13 4 105 "Moon
Urban" TRUE TRUE "MoonUrban"
"125" "LPexper.20181122.WaxGibbous.Wits" 13 5 70 "Moon
Urban" TRUE TRUE "MoonUrban"
"126" "LPexper.20181122.WaxGibbous.Wits" 13 6 80 "Moon
Urban" TRUE TRUE "MoonUrban"
"127" "LPexper.20181122.WaxGibbous.Wits" 13 7 60 "Moon
Urban" TRUE TRUE "MoonUrban"
"128" "LPexper.20181122.WaxGibbous.Wits" 13 8 80 "Moon
Urban" TRUE TRUE "MoonUrban"
"129" "LPexper.20181122.WaxGibbous.Wits" 13 9 100 "Moon
Urban" TRUE TRUE "MoonUrban"
"130" "LPexper.20181122.WaxGibbous.Wits" 13 10 80 "Moon
Urban" TRUE TRUE "MoonUrban"
"131" "LPexper.20181122.WaxGibbous.Wits" 14 1 0 "Moon
Urban" TRUE TRUE "MoonUrban"
"132" "LPexper.20181122.WaxGibbous.Wits" 14 2 15 "Moon
Urban" TRUE TRUE "MoonUrban"
"133" "LPexper.20181122.WaxGibbous.Wits" 14 3 20 "Moon
Urban" TRUE TRUE "MoonUrban"
"134" "LPexper.20181122.WaxGibbous.Wits" 14 4 20 "Moon
Urban" TRUE TRUE "MoonUrban"
